"entity_id","CategoryName","sku","name","description","shortdesc","price","link","image","Brand","Rating","CaffeineType","Count","Flavored","Seasonal","Instock","Facebook","IsKCup"
"358","Bunn Coffee Machines","363","Bunn Single Coffee Brewer with Portable Server Single","","The Bunn Single Coffee Brewer with Portable Server Single coffee machine is equipped with the features you expect from single cup coffee brewer by Bunn Coffee Machines.","1600.0000","http://www.coffeeforless.com/bunn-single-coffee-brewer-portable-server-single.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunnsingle.gif","Bunn","0","","","","","Yes","1","0"
"359","Plates","189","Diplomat 9 inch Plastic Plates 500ct","","Diplomat 9 inch Plastic Plates 500ct case keep you stocked with 500 disposable plates that perfectly meet your needs when you need Plates.","76.0000","http://www.coffeeforless.com/diplomat-9-inch-plastic-plates-500ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/9inch_plastic_plates.jpg","Diplomat","0","","500","","","Yes","1","0"
"360","Bunn Coffee Machines","368","Bunn CWTF15-APS Single Airpot Coffee Brewer","","The Bunn CWTF15-APS Single Airpot Coffee Brewer coffee machine provides the utility that you expect from a quality airpot coffee brewer by Bunn Coffee Machines.","900.0000","http://www.coffeeforless.com/bunn-cwtf15-aps-single-airpot-coffee-brewer.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunnairpot.gif","Bunn","0","","","","","Yes","1","0"
"362","Bigelow Tea","149","Bigelow's Plantation Mint Tea 28ct Box","","Bigelow's Plantation Mint Tea 28ct box allow you to brew 28 single servings of cool mint herbal tea when you steep Bigelow Tea.","5.9500","http://www.coffeeforless.com/bigelows-plantation-mint-tea-28ct-box.html","http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/bigelows-plantation-mint-tea-28ct-box.jpg","Bigelow","0","Caffeinated","","Yes","No","Yes","1","0"
"363","Coffee Cups","223","8oz Styrofoam Coffee Cups 1000ct","","8oz Styrofoam Coffee Cups 1000ct case allow you to stock your beverage service supplies with 1000 long-lasting, heat resistant Styrofoam hot beverage cups..","49.9900","http://www.coffeeforless.com/8oz-styrofoam-coffee-cups-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/DART_8oz_foam.jpg","Dart","0","","1000","","","Yes","1","0"
"364","Flavored Coffee Beans","06-1785","Barrie House Vanilla Cream Coffee Beans 3 5lb Bags","","The combination of Colombian coffee, vanilla cream and hazelnut make this flavored coffee and unforgettable classic. Coffee Beans, 3 5lb Bags.","129.9900","http://www.coffeeforless.com/barrie-house-vanilla-cream-3-5lb-bags-of-beans.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-vanilla-cream-coffee-beans-3-5lb-bags.jpg","Barrie House","5","Caffeinated","","Yes","","No","1","0"
"366","Flavored Coffee Beans","06-1693","Barrie House Creme Brulee Coffee Beans 3 5lb Bags","","Barrie House Creme Brulee Coffee Beans 3 5lb Bags bulk quantity brews many pots of freshly ground vanilla custard flavored coffee from Barrie House Coffee Beans.","129.9900","http://www.coffeeforless.com/barrie-house-creme-brulee-coffee-beans-3-5lb-bags.html","http://mcdn.coffeeforless.com/media/catalog/product//b/a/barrie-house-creme-brulee-coffee-beans-3-5lb-bags.jpg","Barrie House","0","Caffeinated","","Yes","No","No","1","0"
"367","Green Mountain K-Cup&reg; Coffee","6752C","Green Mountain Coffee Mocha Nut Fudge K-Cup&reg; Coffee 96ct Flavored","","Green Mountain Coffee Mocha Nut Fudge K-Cup&amp;reg; Pods 96ct Flavored case infuses 96 individual servings of balanced, mild-bodied light roast coffee from Green Mountain K-Cup&amp;reg; Pods.","59.9600","http://www.coffeeforless.com/green-mountain-coffee-mocha-nut-fudge-k-cups-96ct-flavored.html","http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-mocha-nut-fudge-k-cups-96ct-flavored-914.jpg","Green Mountain Coffee","5","Caffeinated","96","Yes","No","Yes","0","1"
"369","Plastic Utensils","170","Plastic Medium Weight Soup Spoons 1000ct","","Plastic Medium Weight Soup Spoons 1000ct supply your coffee or beverage service at home or at the office with disposable Plastic Utensils.","85.0000","http://www.coffeeforless.com/plastic-medium-weight-soup-spoons-1000ct.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/spoons.jpg","Sweetheart","0","","1000","","","Yes","1","0"
"371","Bunn Coffee Machines","366","Bunn Dual SH Soft Heat Coffee Brewer with Docking System","","The Bunn Dual SH Soft Heat Coffee Brewer with Docking System coffee machine has the utility that you expect from a quality multipot coffee brewer by Bunn Coffee Machines.","3000.0000","http://www.coffeeforless.com/bunn-dual-sh-soft-heat-coffee-brewer-docking-system.html","http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/main/bunndualsoft.gif","Bunn","0","","","","","Yes","1","0"
